field,parent_type,fortran_type,rank,declared_bounds,decl_file,decl_line,alloc_sites,category,notes
DXX,CC_CUTEDGE_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (1:2,SIZE(M%CUT_EDGE(IEC2)%CEELEM,DIM=2)) | (1:2,SIZE(M%CUT_EDGE(CEI)%CEELEM,DIM=2)) | (1:2,SIZE(CE%CEELEM,DIM=2))",type.f90,1234,"geom.f90:9071[1:2,SIZE(M%CUT_EDGE(IEC2)%CEELEM,DIM=2)]; geom.f90:9166[1:2,SIZE(M%CUT_EDGE(CEI)%CEELEM,DIM=2)]; geom.f90:9314[1:2,SIZE(M%CUT_EDGE(CEI)%CEELEM,DIM=2)]; geom.f90:13871[1:2,SIZE(CE%CEELEM,DIM=2)]; geom.f90:18409[(from FROM=MESHES(NM)%CUT_EDGE(CEI1)%DXX)]; geom.f90:18516[(from FROM=DXX_AUX)]",wall_obst_cutcell,"doc: [DXX(1,JEC) DXX(2,JEC)]"
DUIDXJ,CC_CUTEDGE_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (-2:2,1:SIZE(CE%CEELEM,DIM=2))",type.f90,1235,"geom.f90:13971[-2:2,1:SIZE(CE%CEELEM,DIM=2)]; geom.f90:18411[(from FROM=MESHES(NM)%CUT_EDGE(CEI1)%DUIDXJ)]; geom.f90:18521[(from FROM=DUIDXJ_AUX)]",wall_obst_cutcell,doc: Unstructured velocity Grad components.
MU_DUIDXJ,CC_CUTEDGE_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (-2:2,1:SIZE(CE%CEELEM,DIM=2))",type.f90,1236,"geom.f90:13972[-2:2,1:SIZE(CE%CEELEM,DIM=2)]; geom.f90:18412[(from FROM=MESHES(NM)%CUT_EDGE(CEI1)%MU_DUIDXJ)]; geom.f90:18522[(from FROM=MU_DUIDXJ_AUX)]",wall_obst_cutcell,doc: Unstructured viscosity * velocity Grad components.
NOD_PERM,CC_CUTEDGE_TYPE,"INTEGER, ALLOCATABLE",1,deferred(:); allocated as (1:NVERTALLOC),type.f90,1237,geom.f90:18408[(from FROM=MESHES(NM)%CUT_EDGE(CEI1)%NOD_PERM)]; geom.f90:18434[1:NVERTALLOC]; geom.f90:18470[(from FROM=NOD_PERMAUX)],wall_obst_cutcell,doc: Permutation array for INSERT_FACE_VERT.
IWC,CC_CUTFACE_TYPE,INTEGER,0,scalar,type.f90,1280,,wall_obst_cutcell,doc: Wall cell index if wall cell present.
PRES_ZONE,CC_CUTFACE_TYPE,INTEGER,0,scalar,type.f90,1281,,wall_obst_cutcell,doc: Pressure zone cut-face is immersed in.
NVERT,CC_CUTFACE_TYPE,INTEGER,0,scalar,type.f90,1282,,wall_obst_cutcell,doc: Number of gas phase vertices in cartesian face/cell.
NSVERT,CC_CUTFACE_TYPE,INTEGER,0,scalar,type.f90,1283,,wall_obst_cutcell,doc: Number of solid phase Vertices in cartesian face/cell. For Plotting
NFACE,CC_CUTFACE_TYPE,INTEGER,0,scalar,type.f90,1284,,wall_obst_cutcell,doc: Number of gas phase cut-faces in cartesian face/cell.
NSFACE,CC_CUTFACE_TYPE,INTEGER,0,scalar,type.f90,1285,,wall_obst_cutcell,doc: Number of solid phase cut-faces in cartesian face/cell. For Plotting
STATUS,CC_CUTFACE_TYPE,INTEGER,0,scalar,type.f90,1286,,wall_obst_cutcell,"doc: Status of these cut-faces, CC_GASPHASE (cart faces), CC_INBOUNDARY (cart cells)."
IJK,CC_CUTFACE_TYPE,INTEGER,1,(MAX_DIM+1),type.f90,1288,,wall_obst_cutcell,doc: Cartesian face/cell location for these cut-faces. [I J K X1AXIS]
XYZVERT,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (IAXIS:KAXIS,1:NVERT)",type.f90,1289,"geom.f90:10323[(from FROM=XYZVERT)]; geom.f90:10397[(from FROM=XYZVERT)]; geom.f90:10471[(from FROM=XYZVERT)]; geom.f90:10539[(from FROM=XYZVERT)]; geom.f90:10597[(from FROM=XYZVERT)]; geom.f90:10655[(from FROM=XYZVERT)]; geom.f90:22187[(from FROM=XYZVERT)]; geom.f90:22292[(from FROM=CUT_FACE_FROM%XYZVERT)]; geom.f90:22400[IAXIS:KAXIS,1:NVERT]",wall_obst_cutcell,"doc: Locations of vertices. (IAXIS:KAXIS,1:NVERT)"
CFELEM,CC_CUTFACE_TYPE,"INTEGER, ALLOCATABLE",2,"deferred(:,:); allocated as (1:NVERTFACE,1:NFACE)",type.f90,1290,"geom.f90:10324[(from FROM=CFELEM)]; geom.f90:10398[(from FROM=CFELEM)]; geom.f90:10472[(from FROM=CFELEM)]; geom.f90:10540[(from FROM=CFELEM)]; geom.f90:10598[(from FROM=CFELEM)]; geom.f90:10656[(from FROM=CFELEM)]; geom.f90:11792[(from FROM=CEDGES_AUX2)]; geom.f90:22194[(from FROM=CFELEM)]; geom.f90:22293[(from FROM=CUT_FACE_FROM%CFELEM)]; geom.f90:22403[1:NVERTFACE,1:NFACE]; geom.f90:23963[(from FROM=CFELEM)]",wall_obst_cutcell,doc: Cut-faces connectivities.
CEDGES,CC_CUTFACE_TYPE,"INTEGER, ALLOCATABLE",2,"deferred(:,:); allocated as (SIZE(CEDGES,DIM=1),SIZE(CEDGES,DIM=2)) | (SIZE(CF%CFELEM,DIM=1),SIZE(CF%CFELEM,DIM=2)) | (NOD3+1,NFACE)",type.f90,1291,"geom.f90:10325[(from FROM=CEDGES)]; geom.f90:10399[(from FROM=CEDGES)]; geom.f90:10473[(from FROM=CEDGES)]; geom.f90:10541[(from FROM=CEDGES)]; geom.f90:10599[(from FROM=CEDGES)]; geom.f90:10657[(from FROM=CEDGES)]; geom.f90:11415[(from FROM=CEDGES_AUX)]; geom.f90:11776[(from FROM=CEDGES_AUX)]; geom.f90:20852[SIZE(CEDGES,DIM=1),SIZE(CEDGES,DIM=2)]; geom.f90:22294[(from FROM=CUT_FACE_FROM%CEDGES)]; geom.f90:23771[SIZE(CF%CFELEM,DIM=1),SIZE(CF%CFELEM,DIM=2)]; geom.f90:23966[(from FROM=CFELEM)]; geom.f90:24357[NOD3+1,NFACE]",wall_obst_cutcell,doc: Cut-Edges per cut-face. Points to EDGE_LIST.
AREA,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (1:NFACE),type.f90,1292,geom.f90:10321[(from FROM=AREA)]; geom.f90:10395[(from FROM=AREA)]; geom.f90:10469[(from FROM=AREA)]; geom.f90:10537[(from FROM=AREA)]; geom.f90:10595[(from FROM=AREA)]; geom.f90:10653[(from FROM=AREA)]; geom.f90:22199[(from FROM=AREA)]; geom.f90:22295[(from FROM=CUT_FACE_FROM%AREA)]; geom.f90:22404[1:NFACE],wall_obst_cutcell,doc: Cut-faces areas. (1:NFACE+NSFACE)
AREA_ADJUST,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (1:NFACE),type.f90,1293,geom.f90:22238[(from FROM=REAL1D)]; geom.f90:22296[(from FROM=CUT_FACE_FROM%AREA_ADJUST)]; geom.f90:22426[1:NFACE],wall_obst_cutcell,doc: Cut-faces area adjustment factors.
XYZCEN,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (IAXIS:KAXIS,1:NFACE)",type.f90,1294,"geom.f90:10322[(from FROM=XYZCEN)]; geom.f90:10396[(from FROM=XYZCEN)]; geom.f90:10470[(from FROM=XYZCEN)]; geom.f90:10538[(from FROM=XYZCEN)]; geom.f90:10596[(from FROM=XYZCEN)]; geom.f90:10654[(from FROM=XYZCEN)]; geom.f90:22200[(from FROM=XYZCEN)]; geom.f90:22297[(from FROM=CUT_FACE_FROM%XYZCEN)]; geom.f90:22405[IAXIS:KAXIS,1:NFACE]",wall_obst_cutcell,"doc: Cut-faces centroid locations. (IAXIS:KAXIS,1:NFACE+NSFACE)"
SHARED,CC_CUTFACE_TYPE,"LOGICAL, ALLOCATABLE",1,deferred(:); allocated as (1:NFACE),type.f90,1295,geom.f90:22207[(from FROM=SHARED)]; geom.f90:22298[(from FROM=CUT_FACE_FROM%SHARED)]; geom.f90:22406[1:NFACE],wall_obst_cutcell,
BLK_TAG,CC_CUTFACE_TYPE,"LOGICAL, ALLOCATABLE",1,deferred(:); allocated as (1:NFACE),type.f90,1296,geom.f90:22211[(from FROM=SHARED)]; geom.f90:22299[(from FROM=CUT_FACE_FROM%BLK_TAG)]; geom.f90:22407[1:NFACE],wall_obst_cutcell,doc: Array used in cut-cell blocking.
LINK_LEV,CC_CUTFACE_TYPE,"INTEGER, ALLOCATABLE",1,deferred(:); allocated as (1:NFACE),type.f90,1297,geom.f90:22301[(from FROM=CUT_FACE_FROM%LINK_LEV)]; geom.f90:22408[1:NFACE],wall_obst_cutcell,"doc: Level in gas cut-face linking hierarchy, used for momentum stability."
INXAREA,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (1:NFACE),type.f90,1298,geom.f90:22302[(from FROM=CUT_FACE_FROM%INXAREA)]; geom.f90:22411[1:NFACE],wall_obst_cutcell,doc: Integral used in cut-cell volume computations.
INXSQAREA,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (1:NFACE),type.f90,1299,geom.f90:22303[(from FROM=CUT_FACE_FROM%INXSQAREA)]; geom.f90:22412[1:NFACE],wall_obst_cutcell,doc: Integral used in cut-cell x centroid computations.
JNYSQAREA,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (1:NFACE),type.f90,1300,geom.f90:22304[(from FROM=CUT_FACE_FROM%JNYSQAREA)]; geom.f90:22413[1:NFACE],wall_obst_cutcell,doc: Integral used in cut-cell y centroid computations.
KNZSQAREA,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (1:NFACE),type.f90,1301,geom.f90:22305[(from FROM=CUT_FACE_FROM%KNZSQAREA)]; geom.f90:22414[1:NFACE],wall_obst_cutcell,doc: Integral used in cut-cell z centroid computations.
BODTRI,CC_CUTFACE_TYPE,"INTEGER, ALLOCATABLE",2,"deferred(:,:); allocated as (1:2,1:NFACE)",type.f90,1302,"geom.f90:22215[(from FROM=INT2D)]; geom.f90:22306[(from FROM=CUT_FACE_FROM%BODTRI)]; geom.f90:22416[1:2,1:NFACE]",wall_obst_cutcell,doc: GEOMETRY and triangle associated with CC_INBOUNDARY cut-faces (CFACEs).
EDGE_LIST,CC_CUTFACE_TYPE,"INTEGER, ALLOCATABLE",2,"deferred(:,:); allocated as (3,0:NSEG) | (3,NSEG) | (3,CT_EDGES)",type.f90,1303,"geom.f90:9129[(from FROM=EDGE_LIST_AUX)]; geom.f90:10326[(from FROM=EDGE_LIST)]; geom.f90:10400[(from FROM=EDGE_LIST)]; geom.f90:10474[(from FROM=EDGE_LIST)]; geom.f90:10542[(from FROM=EDGE_LIST)]; geom.f90:10600[(from FROM=EDGE_LIST)]; geom.f90:10658[(from FROM=EDGE_LIST)]; geom.f90:11407[(from FROM=EDGE_LIST_AUX)]; geom.f90:11777[(from FROM=EDGE_LIST_AUX)]; geom.f90:20849[3,0:NSEG]; geom.f90:22326[(from FROM=CUT_FACE_FROM%EDGE_LIST)]; geom.f90:23769[3,NSEG]; geom.f90:24357[3,CT_EDGES]",wall_obst_cutcell,doc: Edges list. [CE_TYPE IEC JEC] or [RG_TYPE SIDE_LOHI AXIS]
CELL_LIST,CC_CUTFACE_TYPE,"INTEGER, ALLOCATABLE",3,"deferred(:,:,:); allocated as (MAX_DIM+1,LOW_IND:HIGH_IND,1:NFACE)",type.f90,1304,"geom.f90:22231[(from FROM=INT3D)]; geom.f90:22327[(from FROM=CUT_FACE_FROM%CELL_LIST)]; geom.f90:22422[MAX_DIM+1,LOW_IND:HIGH_IND,1:NFACE]",wall_obst_cutcell,doc: Connected cut-cells list. [RC_TYPE I J K  ]
CFACE_INDEX,CC_CUTFACE_TYPE,"INTEGER, ALLOCATABLE",1,deferred(:); allocated as (CF%NFACE) | (1:NFACE),type.f90,1305,geom.f90:12215[CF%NFACE]; geom.f90:12217[CF%NFACE]; geom.f90:22343[(from FROM=CUT_FACE_FROM%CFACE_INDEX)]; geom.f90:22477[1:NFACE],wall_obst_cutcell,"doc: In boundary cut-faces only, index in CFACE(:)."
SURF_INDEX,CC_CUTFACE_TYPE,"INTEGER, ALLOCATABLE",1,deferred(:); allocated as (CF%NFACE) | (1:NFACE),type.f90,1306,geom.f90:12219[CF%NFACE]; geom.f90:12221[CF%NFACE]; geom.f90:22235[(from FROM=INT1D)]; geom.f90:22344[(from FROM=CUT_FACE_FROM%SURF_INDEX)]; geom.f90:22433[1:NFACE],wall_obst_cutcell,doc: In boundary cut-faces only.
CFACE_ORIGIN,CC_CUTFACE_TYPE,"INTEGER, ALLOCATABLE",1,deferred(:); allocated as (1:NFACE),type.f90,1307,geom.f90:22242[(from FROM=INT1D)]; geom.f90:22300[(from FROM=CUT_FACE_FROM%CFACE_ORIGIN)]; geom.f90:22427[1:NFACE],wall_obst_cutcell,"doc: In boundary face origin (built, blocked small cell, blocked split cell)."
NOMICF,CC_CUTFACE_TYPE,"INTEGER, ALLOCATABLE",2,"deferred(:,:); no ALLOCATE found",type.f90,1308,geom.f90:22345[(from FROM=CUT_FACE_FROM%NOMICF)],wall_obst_cutcell,"doc: For external boundary boundary cutfaces, NOM and cut-face list."
UNKH,CC_CUTFACE_TYPE,"INTEGER, ALLOCATABLE",2,"deferred(:,:); allocated as (LOW_IND:HIGH_IND,1:NFACE)",type.f90,1310,"geom.f90:22307[(from FROM=CUT_FACE_FROM%UNKH)]; geom.f90:22453[LOW_IND:HIGH_IND,1:NFACE]",wall_obst_cutcell,"doc: Low and high side cut-cell H unknown number. (LOW:HIGH,1:NFACE)"
UNKZ,CC_CUTFACE_TYPE,"INTEGER, ALLOCATABLE",2,"deferred(:,:); allocated as (LOW_IND:HIGH_IND,1:NFACE)",type.f90,1311,"geom.f90:22219[(from FROM=INT2D)]; geom.f90:22308[(from FROM=CUT_FACE_FROM%UNKZ)]; geom.f90:22418[LOW_IND:HIGH_IND,1:NFACE]",wall_obst_cutcell,"doc: Low and high side cut-cell Z unknown number. (LOW:HIGH,1:NFACE)"
UNKF,CC_CUTFACE_TYPE,"INTEGER, ALLOCATABLE",1,deferred(:); allocated as (1:NFACE),type.f90,1312,geom.f90:22342[(from FROM=CUT_FACE_FROM%UNKF)]; geom.f90:22470[1:NFACE],wall_obst_cutcell,"doc: Momentum unknown number, used for face linking. (1:NFACE)"
XCENLOW,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (IAXIS:KAXIS,1:NFACE)",type.f90,1313,"geom.f90:22223[(from FROM=REAL2D)]; geom.f90:22309[(from FROM=CUT_FACE_FROM%XCENLOW)]; geom.f90:22420[IAXIS:KAXIS,1:NFACE]",wall_obst_cutcell,"doc: Centroid position for cut-cells in low side. (IAXIS:KAXIS,1:NFACE)"
XCENHIGH,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (IAXIS:KAXIS,1:NFACE)",type.f90,1314,"geom.f90:22226[(from FROM=REAL2D)]; geom.f90:22310[(from FROM=CUT_FACE_FROM%XCENHIGH)]; geom.f90:22421[IAXIS:KAXIS,1:NFACE]",wall_obst_cutcell,"doc: Centroid position for cut-cells in high side. (IAXIS:KAXIS,1:NFACE)"
ZZ_FACE,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (1:N_TOTAL_SCALARS,1:NFACE)",type.f90,1315,"geom.f90:22311[(from FROM=CUT_FACE_FROM%ZZ_FACE)]; geom.f90:22459[1:N_TOTAL_SCALARS,1:NFACE]",wall_obst_cutcell,doc: Scalar values interpolated to cut-faces.
TMP_FACE,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (1:NFACE),type.f90,1316,geom.f90:22312[(from FROM=CUT_FACE_FROM%TMP_FACE)]; geom.f90:22460[1:NFACE],wall_obst_cutcell,doc: Gas phase cut-face temperature array. (1:NFACE)
RHO_D_DZDN,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (1:N_TOTAL_SCALARS,1:NFACE)",type.f90,1317,"geom.f90:22313[(from FROM=CUT_FACE_FROM%RHO_D_DZDN)]; geom.f90:22454[1:N_TOTAL_SCALARS,1:NFACE]",wall_obst_cutcell,doc: Diffusive mass flux for species and cut-faces.
H_RHO_D_DZDN,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (1:N_TOTAL_SCALARS,1:NFACE)",type.f90,1318,"geom.f90:22314[(from FROM=CUT_FACE_FROM%H_RHO_D_DZDN)]; geom.f90:22455[1:N_TOTAL_SCALARS,1:NFACE]",wall_obst_cutcell,doc: Heat flux due to diffusive mass flux for species and cut-faces.
VEL,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (1:NFACE),type.f90,1319,geom.f90:22315[(from FROM=CUT_FACE_FROM%VEL)]; geom.f90:22462[1:NFACE],wall_obst_cutcell,doc: Corrector velocity normal to cut-faces. (1:NFACE)
VELS,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (1:NFACE),type.f90,1320,geom.f90:22316[(from FROM=CUT_FACE_FROM%VELS)]; geom.f90:22462[1:NFACE],wall_obst_cutcell,doc: Predictor velocity normal to cut-faces. (1:NFACE)
FN,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (1:NFACE),type.f90,1321,geom.f90:22317[(from FROM=CUT_FACE_FROM%FN)]; geom.f90:22463[1:NFACE],wall_obst_cutcell,doc: Momentum RHS in cut-faces (Advective+diffusive+body+...).
FN_B,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (1:NFACE),type.f90,1322,geom.f90:22318[(from FROM=CUT_FACE_FROM%FN_B)]; geom.f90:22463[1:NFACE],wall_obst_cutcell,doc: Baroclinic Force RHS in cut-faces.
VEL_SAVE,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (1:NFACE),type.f90,1323,geom.f90:22319[(from FROM=CUT_FACE_FROM%VEL_SAVE)]; geom.f90:22464[1:NFACE],wall_obst_cutcell,doc: Saved unlinked velocities container for cut-faces.
VEL_LNK,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (1:CF%NFACE),type.f90,1324,ccib.f90:19977[1:CF%NFACE]; ccib.f90:20311[1:CF%NFACE]; ccib.f90:23343[1:CF%NFACE]; geom.f90:22320[(from FROM=CUT_FACE_FROM%VEL_LNK)],wall_obst_cutcell,doc: Linked velocity container for cut-faces.
VEL_OMESH,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (1:CF%NFACE),type.f90,1325,ccib.f90:19976[1:CF%NFACE]; geom.f90:22321[(from FROM=CUT_FACE_FROM%VEL_OMESH)],wall_obst_cutcell,doc: OMESH Corrector velocity normal to cut-faces of MESHES(NOM).
VELS_OMESH,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (1:CF%NFACE),type.f90,1326,ccib.f90:19975[1:CF%NFACE]; geom.f90:22322[(from FROM=CUT_FACE_FROM%VELS_OMESH)],wall_obst_cutcell,doc: OMESH Predictor velocity normal to cut-faces. (1:NFACE)
VEL_LNK_OMESH,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (1:CF%NFACE),type.f90,1327,ccib.f90:19978[1:CF%NFACE]; geom.f90:22323[(from FROM=CUT_FACE_FROM%VEL_LNK_OMESH)],wall_obst_cutcell,doc: OMESH Linked velocities.
FN_OMESH,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (1:CF%NFACE),type.f90,1328,ccib.f90:19979[1:CF%NFACE]; geom.f90:22324[(from FROM=CUT_FACE_FROM%FN_OMESH)],wall_obst_cutcell,doc: OMESH Momentum RHS.
JDH,CC_CUTFACE_TYPE,"INTEGER, ALLOCATABLE",3,"deferred(:,:,:); allocated as (1:2,1:2,1:NFACE)",type.f90,1329,"geom.f90:22325[(from FROM=CUT_FACE_FROM%JDH)]; geom.f90:22469[1:2,1:2,1:NFACE]",wall_obst_cutcell,doc: Index matrix per cutface in H Poisson matrix.
FV,CC_CUTFACE_TYPE,REAL(EB),0,scalar,type.f90,1330,,wall_obst_cutcell,doc: Momentum RHS and baroclinic torque in Cartesian face.
FV_B,CC_CUTFACE_TYPE,REAL(EB),0,scalar,type.f90,1330,,wall_obst_cutcell,doc: Momentum RHS and baroclinic torque in Cartesian face.
ALPHA_CF,CC_CUTFACE_TYPE,REAL(EB),0,scalar,type.f90,1331,,wall_obst_cutcell,doc: Area fraction for all gas cut-faces in a given cartesian face.
VEL_CF,CC_CUTFACE_TYPE,REAL(EB),0,scalar,type.f90,1332,,wall_obst_cutcell,"doc: Average cut-face velocity, cartesian velocity containers."
VEL_CRT,CC_CUTFACE_TYPE,REAL(EB),0,scalar,type.f90,1332,,wall_obst_cutcell,"doc: Average cut-face velocity, cartesian velocity containers."
INT_IJK,CC_CUTFACE_TYPE,"INTEGER, ALLOCATABLE",2,"deferred(:,:); no ALLOCATE found",type.f90,1338,geom.f90:22329[(from FROM=CUT_FACE_FROM%INT_IJK)],wall_obst_cutcell,"doc: Interpolation (IAXIS:KAXIS,INT_NPE_LO+1:INT_NPE_LO+INT_NPE_HI)"
INT_COEF,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); no ALLOCATE found,type.f90,1339,geom.f90:22330[(from FROM=CUT_FACE_FROM%INT_COEF)],wall_obst_cutcell,doc: Interpolation (INT_NPE_LO+1:INT_NPE_LO+INT_NPE_HI)
INT_DCOEF,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); no ALLOCATE found",type.f90,1340,geom.f90:22331[(from FROM=CUT_FACE_FROM%INT_DCOEF)],wall_obst_cutcell,"doc: Interpolation (IAXIS:KAXIS,INT_NPE_LO+1:INT_NPE_LO+INT_NPE_HI)"
INT_XYZBF,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); no ALLOCATE found",type.f90,1341,geom.f90:22332[(from FROM=CUT_FACE_FROM%INT_XYZBF)],wall_obst_cutcell,"doc: Interpolation (IAXIS:KAXIS,0:NFACE)"
INT_NOUT,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); no ALLOCATE found",type.f90,1341,geom.f90:22333[(from FROM=CUT_FACE_FROM%INT_NOUT)],wall_obst_cutcell,"doc: Interpolation (IAXIS:KAXIS,0:NFACE)"
INT_INBFC,CC_CUTFACE_TYPE,"INTEGER, ALLOCATABLE",2,"deferred(:,:); no ALLOCATE found",type.f90,1342,geom.f90:22334[(from FROM=CUT_FACE_FROM%INT_INBFC)],wall_obst_cutcell,"doc: Interpolation (1:3,0:NFACE)"
INT_NPE,CC_CUTFACE_TYPE,"INTEGER, ALLOCATABLE",4,"deferred(:,:,:,:); no ALLOCATE found",type.f90,1343,geom.f90:22335[(from FROM=CUT_FACE_FROM%INT_NPE)],wall_obst_cutcell,"doc: Interpolation (LOW:HIGH,VIND,EP,0:NFACE)"
INT_XN,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); no ALLOCATE found",type.f90,1344,geom.f90:22336[(from FROM=CUT_FACE_FROM%INT_XN)],wall_obst_cutcell,"doc: Interpolation (0:INT_N_EXT_PTS,0:NFACE) !0 is interp point."
INT_CN,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); no ALLOCATE found",type.f90,1344,geom.f90:22337[(from FROM=CUT_FACE_FROM%INT_CN)],wall_obst_cutcell,"doc: Interpolation (0:INT_N_EXT_PTS,0:NFACE) !0 is interp point."
INT_FVARS,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); no ALLOCATE found",type.f90,1345,geom.f90:22338[(from FROM=CUT_FACE_FROM%INT_FVARS)],wall_obst_cutcell,"doc: Interp (1:N_INT_FVARS,INT_NPE_LO+1:INT_NPE_LO+INT_NPE_HI)"
INT_NOMIND,CC_CUTFACE_TYPE,"INTEGER, ALLOCATABLE",2,"deferred(:,:); no ALLOCATE found",type.f90,1346,geom.f90:22339[(from FROM=CUT_FACE_FROM%INT_NOMIND)],wall_obst_cutcell,"doc: Interp (LOW_IND:HIGH_IND,INT_NPE_LO+1:INT_NPE_LO+INT_NPE_HI)"
INT_CVARS,CC_CUTFACE_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); no ALLOCATE found",type.f90,1349,geom.f90:22341[(from FROM=CUT_FACE_FROM%INT_CVARS)],wall_obst_cutcell,"doc: Interpolation (1:N_INT_CVARS,INT_NPE_LO+1:INT_NPE_LO+INT_NPE_HI)"
IJK,CC_CUTCELL_TYPE,INTEGER,1,(MAX_DIM),type.f90,1392,,wall_obst_cutcell,doc: Cartesian cell [ I J K ] location for this entry.
NCELL,CC_CUTCELL_TYPE,INTEGER,0,scalar,type.f90,1393,,wall_obst_cutcell,doc: Num cut-cells in this cartesian cell. Now fixed at 1 by blocking.
NFACE_CELL,CC_CUTCELL_TYPE,INTEGER,0,scalar,type.f90,1394,,wall_obst_cutcell,doc: Number of faces on cut-cells in this entry.
NFACE_DROPPED,CC_CUTCELL_TYPE,INTEGER,0,scalar,type.f90,1395,,wall_obst_cutcell,doc: Parameter used for blocking cut-cells.
ALPHA_CC,CC_CUTCELL_TYPE,REAL(EB),0,scalar,type.f90,1396,,wall_obst_cutcell,doc: Volume factor. ( SUM(VOLUME(1:NCELL))/(DX*DY*DZ) )
CCELEM,CC_CUTCELL_TYPE,"INTEGER, ALLOCATABLE",2,"deferred(:,:); allocated as (1:NCFACE_CUTCELL,1:NCELL)",type.f90,1397,"geom.f90:8249[(from FROM=CUT_CELL_FROM%CCELEM)]; geom.f90:8424[1:NCFACE_CUTCELL,1:NCELL]; geom.f90:8923[(from FROM=CCELEM_LOC)]; geom.f90:10030[(from FROM=CCELEM)]; geom.f90:10099[(from FROM=CCELEM)]; geom.f90:13242[(from FROM=CCELEM)]",wall_obst_cutcell,"doc: Cut-cells faces in FACE_LIST. (1:NFACE_CELL+1,1:NCELL)"
FACE_LIST,CC_CUTCELL_TYPE,"INTEGER, ALLOCATABLE",2,"deferred(:,:); allocated as (1:CC_NPARAM_CCFACE,1:NFACE_CELL)",type.f90,1398,"geom.f90:8250[(from FROM=CUT_CELL_FROM%FACE_LIST)]; geom.f90:8425[1:CC_NPARAM_CCFACE,1:NFACE_CELL]; geom.f90:8924[(from FROM=FACE_LIST_LOC)]; geom.f90:10031[(from FROM=FACE_LIST)]; geom.f90:10100[(from FROM=FACE_LIST)]; geom.f90:13243[(from FROM=FACE_LIST)]",wall_obst_cutcell,doc: List of cut-reg faces boundary of cut-cells for this entry.
FACE_LIST_DROPPED,CC_CUTCELL_TYPE,"INTEGER, ALLOCATABLE",2,"deferred(:,:); no ALLOCATE found",type.f90,1399,geom.f90:8251[(from FROM=CUT_CELL_FROM%FACE_LIST_DROPPED)]; geom.f90:11821[(from FROM=FACE_LIST_DROPPED)],wall_obst_cutcell,doc: Face list used for blocking cut-cells.
