pointer,decl,fortran_type,rank,remap_line,target,target_decl,target_alloc_bounds,category,n_routines_using,n_runtime_routines,sample_routines,notes
TURB_WORK2,mesh.f90:396,REAL(EB),3,mesh.f90:654,M%TURB_WORK2,mesh.f90:123,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,3,3,VARDEN_DYNSMAG(turb.f90); CALC_VARDEN_LEONARD_TERM(turb.f90); POINT_TO_MESH(mesh.f90),
TURB_WORK3,mesh.f90:396,REAL(EB),3,mesh.f90:655,M%TURB_WORK3,mesh.f90:123,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,3,3,CALC_VARDEN_LEONARD_TERM(turb.f90); POINT_TO_MESH(mesh.f90); VARDEN_DYNSMAG(turb.f90),
TURB_WORK4,mesh.f90:396,REAL(EB),3,mesh.f90:656,M%TURB_WORK4,mesh.f90:123,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,3,3,CALC_VARDEN_LEONARD_TERM(turb.f90); VARDEN_DYNSMAG(turb.f90); POINT_TO_MESH(mesh.f90),
TURB_WORK5,mesh.f90:397,REAL(EB),3,mesh.f90:657,M%TURB_WORK5,mesh.f90:124,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,3,3,CALC_VARDEN_LEONARD_TERM(turb.f90); VARDEN_DYNSMAG(turb.f90); POINT_TO_MESH(mesh.f90),
TURB_WORK6,mesh.f90:397,REAL(EB),3,mesh.f90:658,M%TURB_WORK6,mesh.f90:124,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,3,3,CALC_VARDEN_LEONARD_TERM(turb.f90); VARDEN_DYNSMAG(turb.f90); POINT_TO_MESH(mesh.f90),
TURB_WORK7,mesh.f90:397,REAL(EB),3,mesh.f90:659,M%TURB_WORK7,mesh.f90:124,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,3,3,CALC_VARDEN_LEONARD_TERM(turb.f90); VARDEN_DYNSMAG(turb.f90); POINT_TO_MESH(mesh.f90),
TURB_WORK8,mesh.f90:397,REAL(EB),3,mesh.f90:660,M%TURB_WORK8,mesh.f90:124,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,3,3,CALC_VARDEN_LEONARD_TERM(turb.f90); VARDEN_DYNSMAG(turb.f90); POINT_TO_MESH(mesh.f90),
TURB_WORK9,mesh.f90:398,REAL(EB),3,mesh.f90:661,M%TURB_WORK9,mesh.f90:125,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,3,3,CALC_VARDEN_LEONARD_TERM(turb.f90); VARDEN_DYNSMAG(turb.f90); POINT_TO_MESH(mesh.f90),
TURB_WORK10,mesh.f90:398,REAL(EB),3,mesh.f90:662,M%TURB_WORK10,mesh.f90:125,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,2,2,POINT_TO_MESH(mesh.f90); VARDEN_DYNSMAG(turb.f90),
CCVELDIV,mesh.f90:400,REAL(EB),3,mesh.f90:663,M%CCVELDIV,mesh.f90:126,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",other,3,3,CC_CHECK_DIVERGENCE(ccib.f90); GAS_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90),
CARTVELDIV,mesh.f90:400,REAL(EB),3,mesh.f90:664,M%CARTVELDIV,mesh.f90:126,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",other,4,4,CHECK_DIVERGENCE(divg.f90); GAS_PHASE_OUTPUT(dump.f90); CC_CHECK_DIVERGENCE(ccib.f90); POINT_TO_MESH(mesh.f90),
WALL_WORK1,mesh.f90:402,REAL(EB),1,mesh.f90:665,M%WALL_WORK1,mesh.f90:127,deferred(:); allocated as (M%N_WALL_CELLS),scratch_work,7,7,PRESSURE_SOLVER_COMPUTE_RHS(pres.f90); GET_PRES_CFACE_BCS(ccib.f90); CC_NO_FLUX(ccib.f90); COMPUTE_VELOCITY_ERROR(pres.f90); CC_COMPUTE_VELOCITY_ERROR(ccib.f90); POINT_TO_MESH(mesh.f90),
WALL_WORK2,mesh.f90:402,REAL(EB),1,mesh.f90:666,M%WALL_WORK2,mesh.f90:127,deferred(:); allocated as (M%N_WALL_CELLS),scratch_work,2,2,POINT_TO_MESH(mesh.f90); RADIATION_FVM(radi.f90),
FACE_WORK1,mesh.f90:402,REAL(EB),1,mesh.f90:667,M%FACE_WORK1,mesh.f90:127,deferred(:); allocated as (MESHES(NM)%N_CFACE_CELLS_DIM),scratch_work,2,2,POINT_TO_MESH(mesh.f90); RADIATION_FVM(radi.f90),
FACE_WORK2,mesh.f90:402,REAL(EB),1,mesh.f90:668,M%FACE_WORK2,mesh.f90:127,deferred(:); allocated as (MESHES(NM)%N_CFACE_CELLS_DIM),scratch_work,2,2,POINT_TO_MESH(mesh.f90); RADIATION_FVM(radi.f90),
FACE_WORK3,mesh.f90:402,REAL(EB),1,mesh.f90:669,M%FACE_WORK3,mesh.f90:127,deferred(:); allocated as (MESHES(NM)%N_CFACE_CELLS_DIM),scratch_work,2,2,POINT_TO_MESH(mesh.f90); RADIATION_FVM(radi.f90),
FIRE_ARRIVAL_TIME,mesh.f90:403,REAL(EB),1,mesh.f90:670,M%FIRE_ARRIVAL_TIME,mesh.f90:128,deferred(:); allocated as (1:M%N_INTERNAL_WALL_CELLS+M%N_EXTERNAL_WALL_CELLS+M%N_INTERNAL_CFACE_CELLS),other,6,5,COMPUTE_FIRE_SPREAD_OUTPUTS(vege.f90); DUMP_BNDF(dump.f90); DUMP_RESTART(dump.f90); READ_RESTART(dump.f90); SOLID_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90),
FIRE_RESIDENCE_TIME,mesh.f90:403,REAL(EB),1,mesh.f90:671,M%FIRE_RESIDENCE_TIME,mesh.f90:128,deferred(:); allocated as (1:M%N_INTERNAL_WALL_CELLS+M%N_EXTERNAL_WALL_CELLS+M%N_INTERNAL_CFACE_CELLS),other,5,4,COMPUTE_FIRE_SPREAD_OUTPUTS(vege.f90); DUMP_RESTART(dump.f90); READ_RESTART(dump.f90); SOLID_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90),
LS_SPREAD_RATE,mesh.f90:403,REAL(EB),1,mesh.f90:672,M%LS_SPREAD_RATE,mesh.f90:128,deferred(:); allocated as (1:M%N_INTERNAL_WALL_CELLS+M%N_EXTERNAL_WALL_CELLS+M%N_INTERNAL_CFACE_CELLS),other,5,4,DUMP_RESTART(dump.f90); READ_RESTART(dump.f90); SOLID_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90); IGNITE_GRID_CELL(vege.f90),
QQ,mesh.f90:405,REAL(FB),4,mesh.f90:673,M%QQ,mesh.f90:129,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,5)",other,7,7,DUMP_SLCF(dump.f90); GET_GEOMVALS(dump.f90); DUMP_SLCF_VTK(dump.f90); DUMP_ISOF(dump.f90); DUMP_SMOKE3D(dump.f90); DUMP_SMOKE3D_VTKHDF(dump.f90),
QQ2,mesh.f90:405,REAL(FB),4,mesh.f90:674,M%QQ2,mesh.f90:129,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1)",other,2,2,DUMP_ISOF(dump.f90); POINT_TO_MESH(mesh.f90),
PP,mesh.f90:406,REAL(FB),2,mesh.f90:675,M%PP,mesh.f90:130,"deferred(:,:); allocated as (0:I1B,0:I2B)",other,3,3,DUMP_BNDF(dump.f90); DUMP_BNDF_VTKHDF(dump.f90); POINT_TO_MESH(mesh.f90),
PPN,mesh.f90:406,REAL(FB),2,mesh.f90:676,M%PPN,mesh.f90:130,"deferred(:,:); allocated as (0:I1B,0:I2B)",other,3,3,DUMP_BNDF(dump.f90); DUMP_BNDF_VTKHDF(dump.f90); POINT_TO_MESH(mesh.f90),
BNDF_TIME_INTEGRAL,mesh.f90:406,REAL(FB),2,mesh.f90:677,M%BNDF_TIME_INTEGRAL,mesh.f90:130,"deferred(:,:); allocated as (M%N_BNDF_POINTS,BNDF_TIME_INTEGRALS)",other,3,3,DUMP_BNDF(dump.f90); PACK_VTK_BNDF(dump.f90); POINT_TO_MESH(mesh.f90),
IBK,mesh.f90:407,INTEGER,2,mesh.f90:678,M%IBK,mesh.f90:131,"deferred(:,:); allocated as (0:I1B,0:I2B)",other,3,3,DUMP_BNDF(dump.f90); PACK_VTK_BNDF(dump.f90); POINT_TO_MESH(mesh.f90),
IBLK,mesh.f90:408,INTEGER,3,mesh.f90:679,M%IBLK,mesh.f90:132,"deferred(:,:,:); allocated as (0:IBAR,0:JBAR,0:KBAR) | (1:IBAR,1:JBAR,1:KBAR)",other,2,2,DUMP_ISOF(dump.f90); POINT_TO_MESH(mesh.f90),
WALL_STORAGE,mesh.f90:409,TYPE:STORAGE_TYPE(STORAGE_TYPE),0,mesh.f90:680,M%WALL_STORAGE,mesh.f90:133,scalar,wall_obst_cutcell,3,2,DUMP_RESTART(dump.f90); READ_RESTART(dump.f90); POINT_TO_MESH(mesh.f90),
CFACE_STORAGE,mesh.f90:409,TYPE:STORAGE_TYPE(STORAGE_TYPE),0,mesh.f90:681,M%CFACE_STORAGE,mesh.f90:133,scalar,wall_obst_cutcell,3,2,DUMP_RESTART(dump.f90); READ_RESTART(dump.f90); POINT_TO_MESH(mesh.f90),
CFL,mesh.f90:410,REAL(EB),0,mesh.f90:682,M%CFL,mesh.f90:135,scalar,other,4,4,CHECK_CFLVN_LINKED_CELLS(ccib.f90); CHECK_STABILITY(velo.f90); GAS_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90),
DIVMX,mesh.f90:410,REAL(EB),0,mesh.f90:683,M%DIVMX,mesh.f90:135,scalar,other,3,3,CHECK_DIVERGENCE(divg.f90); CC_CHECK_DIVERGENCE(ccib.f90); POINT_TO_MESH(mesh.f90),
DIVMN,mesh.f90:410,REAL(EB),0,mesh.f90:686,M%DIVMN,mesh.f90:135,scalar,other,3,3,CHECK_DIVERGENCE(divg.f90); CC_CHECK_DIVERGENCE(ccib.f90); POINT_TO_MESH(mesh.f90),
VN,mesh.f90:410,REAL(EB),0,mesh.f90:684,M%VN,mesh.f90:135,scalar,other,4,4,CHECK_STABILITY(velo.f90); CHECK_CFLVN_LINKED_CELLS(ccib.f90); GAS_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90),
RESMAX,mesh.f90:410,REAL(EB),0,mesh.f90:685,M%RESMAX,mesh.f90:135,scalar,other,4,4,CHECK_DIVERGENCE(divg.f90); CC_CHECK_DIVERGENCE(ccib.f90); GAS_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90),
DRAG_UVWMAX,mesh.f90:410,REAL(EB),0,mesh.f90:687,M%DRAG_UVWMAX,mesh.f90:135,scalar,particle,5,4,VELOCITY_BC(velo.f90); CC_EDGE_TAU_OMG(ccib.f90); CHECK_STABILITY(velo.f90); INIT_CUTCELL_DATA(ccib.f90); POINT_TO_MESH(mesh.f90),
PART_UVWMAX,mesh.f90:410,REAL(EB),0,mesh.f90:688,M%PART_UVWMAX,mesh.f90:135,scalar,particle,6,6,MOVE_IN_GAS(part.f90); CHECK_STABILITY(velo.f90); INSERT_ALL_PARTICLES(part.f90); PARTICLE_MASS_ENERGY_TRANSFER(part.f90); POINT_TO_MESH(mesh.f90); MOVE_PARTICLES(part.f90),
ICFL,mesh.f90:411,INTEGER,0,mesh.f90:689,M%ICFL,mesh.f90:136,scalar,other,3,3,CHECK_STABILITY(velo.f90); CHECK_CFLVN_LINKED_CELLS(ccib.f90); POINT_TO_MESH(mesh.f90),
JCFL,mesh.f90:411,INTEGER,0,mesh.f90:690,M%JCFL,mesh.f90:136,scalar,other,3,3,CHECK_STABILITY(velo.f90); CHECK_CFLVN_LINKED_CELLS(ccib.f90); POINT_TO_MESH(mesh.f90),
KCFL,mesh.f90:411,INTEGER,0,mesh.f90:691,M%KCFL,mesh.f90:136,scalar,other,3,3,CHECK_STABILITY(velo.f90); CHECK_CFLVN_LINKED_CELLS(ccib.f90); POINT_TO_MESH(mesh.f90),
IMX,mesh.f90:411,INTEGER,0,mesh.f90:696,M%IMX,mesh.f90:136,scalar,other,3,3,CHECK_DIVERGENCE(divg.f90); CC_CHECK_DIVERGENCE(ccib.f90); POINT_TO_MESH(mesh.f90),
JMX,mesh.f90:411,INTEGER,0,mesh.f90:697,M%JMX,mesh.f90:136,scalar,other,3,3,CHECK_DIVERGENCE(divg.f90); CC_CHECK_DIVERGENCE(ccib.f90); POINT_TO_MESH(mesh.f90),
KMX,mesh.f90:411,INTEGER,0,mesh.f90:698,M%KMX,mesh.f90:136,scalar,other,3,3,CHECK_DIVERGENCE(divg.f90); CC_CHECK_DIVERGENCE(ccib.f90); POINT_TO_MESH(mesh.f90),
IMN,mesh.f90:411,INTEGER,0,mesh.f90:699,M%IMN,mesh.f90:136,scalar,other,3,3,CC_CHECK_DIVERGENCE(ccib.f90); CHECK_DIVERGENCE(divg.f90); POINT_TO_MESH(mesh.f90),
JMN,mesh.f90:411,INTEGER,0,mesh.f90:700,M%JMN,mesh.f90:136,scalar,other,3,3,CC_CHECK_DIVERGENCE(ccib.f90); CHECK_DIVERGENCE(divg.f90); POINT_TO_MESH(mesh.f90),
KMN,mesh.f90:411,INTEGER,0,mesh.f90:701,M%KMN,mesh.f90:136,scalar,other,3,3,CC_CHECK_DIVERGENCE(ccib.f90); CHECK_DIVERGENCE(divg.f90); POINT_TO_MESH(mesh.f90),
I_VN,mesh.f90:411,INTEGER,0,mesh.f90:708,M%I_VN,mesh.f90:136,scalar,other,3,3,CHECK_STABILITY(velo.f90); CHECK_CFLVN_LINKED_CELLS(ccib.f90); POINT_TO_MESH(mesh.f90),
J_VN,mesh.f90:411,INTEGER,0,mesh.f90:709,M%J_VN,mesh.f90:136,scalar,other,3,3,CHECK_STABILITY(velo.f90); CHECK_CFLVN_LINKED_CELLS(ccib.f90); POINT_TO_MESH(mesh.f90),
K_VN,mesh.f90:411,INTEGER,0,mesh.f90:710,M%K_VN,mesh.f90:136,scalar,other,3,3,CHECK_STABILITY(velo.f90); CHECK_CFLVN_LINKED_CELLS(ccib.f90); POINT_TO_MESH(mesh.f90),
IRM,mesh.f90:411,INTEGER,0,mesh.f90:702,M%IRM,mesh.f90:136,scalar,other,3,3,CC_CHECK_DIVERGENCE(ccib.f90); CHECK_DIVERGENCE(divg.f90); POINT_TO_MESH(mesh.f90),
JRM,mesh.f90:411,INTEGER,0,mesh.f90:703,M%JRM,mesh.f90:136,scalar,other,3,3,CC_CHECK_DIVERGENCE(ccib.f90); CHECK_DIVERGENCE(divg.f90); POINT_TO_MESH(mesh.f90),
KRM,mesh.f90:411,INTEGER,0,mesh.f90:704,M%KRM,mesh.f90:136,scalar,other,3,3,CC_CHECK_DIVERGENCE(ccib.f90); CHECK_DIVERGENCE(divg.f90); POINT_TO_MESH(mesh.f90),
DT_RESTRICT_COUNT,mesh.f90:411,INTEGER,0,mesh.f90:694,M%DT_RESTRICT_COUNT,mesh.f90:136,scalar,other,3,3,CHECK_STABILITY(velo.f90); MASS_FINITE_DIFFERENCES(mass.f90); POINT_TO_MESH(mesh.f90),
DT_RESTRICT_STORE,mesh.f90:411,INTEGER,0,mesh.f90:695,M%DT_RESTRICT_STORE,mesh.f90:136,scalar,other,2,2,CHECK_STABILITY(velo.f90); POINT_TO_MESH(mesh.f90),
CLIP_RHOMIN,mesh.f90:412,LOGICAL,0,mesh.f90:692,M%CLIP_RHOMIN,mesh.f90:137,scalar,other,4,4,CHECK_MASS_DENSITY(mass.f90); CC_CHECK_MASS_DENSITY(ccib.f90); CHECK_STABILITY(velo.f90); POINT_TO_MESH(mesh.f90),
CLIP_RHOMAX,mesh.f90:412,LOGICAL,0,mesh.f90:693,M%CLIP_RHOMAX,mesh.f90:137,scalar,other,4,4,CHECK_MASS_DENSITY(mass.f90); CC_CHECK_MASS_DENSITY(ccib.f90); CHECK_STABILITY(velo.f90); POINT_TO_MESH(mesh.f90),
BAROCLINIC_TERMS_ATTACHED,mesh.f90:413,LOGICAL,0,mesh.f90:705,M%BAROCLINIC_TERMS_ATTACHED,mesh.f90:138,scalar,other,3,3,BAROCLINIC_CORRECTION(velo.f90); CC_BAROCLINIC_CORRECTION(ccib.f90); POINT_TO_MESH(mesh.f90),
BNDF_DUMP,mesh.f90:414,LOGICAL,0,mesh.f90:706,M%BNDF_DUMP,mesh.f90:139,scalar,other,3,2,DUMP_RESTART(dump.f90); READ_RESTART(dump.f90); POINT_TO_MESH(mesh.f90),
PARTICLES_EXISTED,mesh.f90:415,LOGICAL,0,mesh.f90:707,M%PARTICLES_EXISTED,mesh.f90:140,scalar,particle,3,3,RADIATION_FVM(radi.f90); PARTICLE_MASS_ENERGY_TRANSFER(part.f90); POINT_TO_MESH(mesh.f90),
EDGE,mesh.f90:416,TYPE:EDGE_TYPE(EDGE_TYPE),1,mesh.f90:711,M%EDGE,mesh.f90:145,deferred(:); allocated as (0:N1),ghost_boundary,13,11,FACE_VALUE(dump.f90); FACE_VALUE(dump.f90); VELOCITY_FLUX(velo.f90); VELOCITY_FLUX_CYLINDRICAL(velo.f90); CC_EDGE_TAU_OMG(ccib.f90); GET_CRTCFCC_INT_STENCILS(ccib.f90),
IBAR,mesh.f90:418,INTEGER,0,mesh.f90:712,M%IBAR,mesh.f90:147,scalar,grid_geometry,149,116,VELOCITY_BC(velo.f90); DIVERGENCE_PART_1(divg.f90); INITIALIZE_LEVEL_SET_FIRESPREAD_2(vege.f90); CC_PROJECT_VELOCITY(ccib.f90); PRESSURE_SOLVER_COMPUTE_RHS(pres.f90); COMPUTE_VISCOSITY(velo.f90),
JBAR,mesh.f90:418,INTEGER,0,mesh.f90:713,M%JBAR,mesh.f90:148,scalar,grid_geometry,148,116,VELOCITY_BC(velo.f90); DIVERGENCE_PART_1(divg.f90); INITIALIZE_LEVEL_SET_FIRESPREAD_2(vege.f90); CC_PROJECT_VELOCITY(ccib.f90); COMPUTE_VISCOSITY(velo.f90); DENSITY(mass.f90),
KBAR,mesh.f90:418,INTEGER,0,mesh.f90:714,M%KBAR,mesh.f90:149,scalar,grid_geometry,145,114,VELOCITY_BC(velo.f90); DIVERGENCE_PART_1(divg.f90); CC_PROJECT_VELOCITY(ccib.f90); PRESSURE_SOLVER_COMPUTE_RHS(pres.f90); COMPUTE_VISCOSITY(velo.f90); DENSITY(mass.f90),
IBM1,mesh.f90:418,INTEGER,0,mesh.f90:715,M%IBM1,mesh.f90:150,scalar,grid_geometry,5,2,INITIAL_NOISE(init.f90); POINT_TO_MESH(mesh.f90); READ_VENT(read.f90); EX2G3D(turb.f90); INITIALIZE_LEVEL_SET_FIRESPREAD_1(vege.f90),
JBM1,mesh.f90:418,INTEGER,0,mesh.f90:716,M%JBM1,mesh.f90:151,scalar,grid_geometry,5,2,INITIAL_NOISE(init.f90); POINT_TO_MESH(mesh.f90); READ_VENT(read.f90); EX2G3D(turb.f90); INITIALIZE_LEVEL_SET_FIRESPREAD_1(vege.f90),
KBM1,mesh.f90:418,INTEGER,0,mesh.f90:717,M%KBM1,mesh.f90:152,scalar,grid_geometry,4,2,INITIAL_NOISE(init.f90); POINT_TO_MESH(mesh.f90); READ_VENT(read.f90); EX2G3D(turb.f90),
IBP1,mesh.f90:418,INTEGER,0,mesh.f90:718,M%IBP1,mesh.f90:153,scalar,grid_geometry,58,39,CALC_VARDEN_LEONARD_TERM(turb.f90); COMPUTE_VISCOSITY(velo.f90); FILL_EDGES(turb.f90); READ_OBST(read.f90); INITIALIZE_LEVEL_SET_FIRESPREAD_1(vege.f90); INIT_TURB_ARRAYS(turb.f90),
JBP1,mesh.f90:418,INTEGER,0,mesh.f90:719,M%JBP1,mesh.f90:154,scalar,grid_geometry,58,39,CALC_VARDEN_LEONARD_TERM(turb.f90); COMPUTE_VISCOSITY(velo.f90); FILL_EDGES(turb.f90); READ_OBST(read.f90); INITIALIZE_LEVEL_SET_FIRESPREAD_1(vege.f90); INIT_TURB_ARRAYS(turb.f90),
KBP1,mesh.f90:418,INTEGER,0,mesh.f90:720,M%KBP1,mesh.f90:155,scalar,grid_geometry,56,38,CALC_VARDEN_LEONARD_TERM(turb.f90); COMPUTE_VISCOSITY(velo.f90); FILL_EDGES(turb.f90); READ_OBST(read.f90); INIT_TURB_ARRAYS(turb.f90); INIT_CUTCELL_DATA(ccib.f90),
N_NEIGHBORING_MESHES,mesh.f90:419,INTEGER,0,mesh.f90:721,M%N_NEIGHBORING_MESHES,mesh.f90:156,scalar,mpi_exchange,4,4,POINT_TO_MESH(mesh.f90); INSERT_ALL_PARTICLES(part.f90); ADD_TO_PARTICLE_SEND_BUFFER(part.f90); INTERPOLATE_IL(radi.f90),
NEIGHBORING_MESH,mesh.f90:420,INTEGER,1,mesh.f90:722,M%NEIGHBORING_MESH,mesh.f90:157,deferred(:); allocated as (M%N_NEIGHBORING_MESHES),mpi_exchange,4,4,ADD_TO_PARTICLE_SEND_BUFFER(part.f90); POINT_TO_MESH(mesh.f90); INSERT_ALL_PARTICLES(part.f90); INTERPOLATE_IL(radi.f90),
RGB,mesh.f90:422,INTEGER,1,mesh.f90:723,M%RGB,mesh.f90:158,deferred(:); allocated as (3),other,1,1,POINT_TO_MESH(mesh.f90),
DXI,mesh.f90:423,REAL(EB),0,mesh.f90:724,M%DXI,mesh.f90:163,scalar,grid_geometry,2,2,PRESSURE_SOLVER_FFT(pres.f90); POINT_TO_MESH(mesh.f90),
DETA,mesh.f90:423,REAL(EB),0,mesh.f90:725,M%DETA,mesh.f90:164,scalar,grid_geometry,2,2,PRESSURE_SOLVER_FFT(pres.f90); POINT_TO_MESH(mesh.f90),
DZETA,mesh.f90:423,REAL(EB),0,mesh.f90:726,M%DZETA,mesh.f90:165,scalar,grid_geometry,2,2,PRESSURE_SOLVER_FFT(pres.f90); POINT_TO_MESH(mesh.f90),
RDXI,mesh.f90:423,REAL(EB),0,mesh.f90:727,M%RDXI,mesh.f90:166,scalar,grid_geometry,7,2,PATCH_VELOCITY_FLUX(velo.f90); READ_OBST(read.f90); INITIALIZE_MESH_DUMPS(dump.f90); READ_HOLE(read.f90); READ_VENT(read.f90); READ_SLCF(read.f90),
RDETA,mesh.f90:423,REAL(EB),0,mesh.f90:728,M%RDETA,mesh.f90:167,scalar,grid_geometry,7,2,PATCH_VELOCITY_FLUX(velo.f90); READ_OBST(read.f90); INITIALIZE_MESH_DUMPS(dump.f90); READ_HOLE(read.f90); READ_VENT(read.f90); READ_SLCF(read.f90),
RDZETA,mesh.f90:423,REAL(EB),0,mesh.f90:729,M%RDZETA,mesh.f90:168,scalar,grid_geometry,7,2,PATCH_VELOCITY_FLUX(velo.f90); READ_OBST(read.f90); INITIALIZE_MESH_DUMPS(dump.f90); READ_HOLE(read.f90); READ_VENT(read.f90); READ_SLCF(read.f90),
DXMIN,mesh.f90:424,REAL(EB),0,mesh.f90:730,M%DXMIN,mesh.f90:169,scalar,grid_geometry,1,1,POINT_TO_MESH(mesh.f90),
DXMAX,mesh.f90:424,REAL(EB),0,mesh.f90:731,M%DXMAX,mesh.f90:170,scalar,grid_geometry,1,1,POINT_TO_MESH(mesh.f90),
DYMIN,mesh.f90:424,REAL(EB),0,mesh.f90:732,M%DYMIN,mesh.f90:171,scalar,grid_geometry,1,1,POINT_TO_MESH(mesh.f90),
DYMAX,mesh.f90:424,REAL(EB),0,mesh.f90:733,M%DYMAX,mesh.f90:172,scalar,grid_geometry,1,1,POINT_TO_MESH(mesh.f90),
DZMIN,mesh.f90:424,REAL(EB),0,mesh.f90:734,M%DZMIN,mesh.f90:173,scalar,grid_geometry,1,1,POINT_TO_MESH(mesh.f90),
DZMAX,mesh.f90:424,REAL(EB),0,mesh.f90:735,M%DZMAX,mesh.f90:174,scalar,grid_geometry,1,1,POINT_TO_MESH(mesh.f90),
XS,mesh.f90:425,REAL(EB),0,mesh.f90:737,M%XS,mesh.f90:175,scalar,grid_geometry,18,10,READ_OBST(read.f90); READ_SLCF(read.f90); READ_VENT(read.f90); PATCH_VELOCITY_FLUX(velo.f90); INSERT_VOLUMETRIC_PARTICLES(part.f90); READ_HOLE(read.f90),
XF,mesh.f90:425,REAL(EB),0,mesh.f90:738,M%XF,mesh.f90:176,scalar,grid_geometry,16,9,READ_OBST(read.f90); READ_SLCF(read.f90); INSERT_VOLUMETRIC_PARTICLES(part.f90); READ_VENT(read.f90); READ_HOLE(read.f90); GET_H_MATRIX_CC(ccib.f90),
YS,mesh.f90:425,REAL(EB),0,mesh.f90:739,M%YS,mesh.f90:177,scalar,grid_geometry,17,9,READ_OBST(read.f90); READ_SLCF(read.f90); READ_VENT(read.f90); PATCH_VELOCITY_FLUX(velo.f90); INSERT_VOLUMETRIC_PARTICLES(part.f90); READ_HOLE(read.f90),
YF,mesh.f90:425,REAL(EB),0,mesh.f90:740,M%YF,mesh.f90:178,scalar,grid_geometry,17,9,READ_OBST(read.f90); READ_SLCF(read.f90); INSERT_VOLUMETRIC_PARTICLES(part.f90); READ_VENT(read.f90); READ_HOLE(read.f90); GET_H_MATRIX_CC(ccib.f90),
ZS,mesh.f90:425,REAL(EB),0,mesh.f90:741,M%ZS,mesh.f90:179,scalar,grid_geometry,18,10,READ_OBST(read.f90); READ_SLCF(read.f90); READ_VENT(read.f90); PATCH_VELOCITY_FLUX(velo.f90); INSERT_VOLUMETRIC_PARTICLES(part.f90); READ_HOLE(read.f90),
ZF,mesh.f90:425,REAL(EB),0,mesh.f90:742,M%ZF,mesh.f90:180,scalar,grid_geometry,17,9,READ_OBST(read.f90); READ_SLCF(read.f90); INSERT_VOLUMETRIC_PARTICLES(part.f90); READ_VENT(read.f90); READ_HOLE(read.f90); GET_H_MATRIX_CC(ccib.f90),
RDXINT,mesh.f90:425,REAL(EB),0,mesh.f90:743,M%RDXINT,mesh.f90:181,scalar,grid_geometry,1,1,POINT_TO_MESH(mesh.f90),
RDYINT,mesh.f90:425,REAL(EB),0,mesh.f90:744,M%RDYINT,mesh.f90:182,scalar,grid_geometry,1,1,POINT_TO_MESH(mesh.f90),
RDZINT,mesh.f90:425,REAL(EB),0,mesh.f90:745,M%RDZINT,mesh.f90:183,scalar,grid_geometry,1,1,POINT_TO_MESH(mesh.f90),
CELL_SIZE,mesh.f90:425,REAL(EB),0,mesh.f90:736,M%CELL_SIZE,mesh.f90:184,scalar,grid_geometry,2,1,INITIAL_NOISE(init.f90); POINT_TO_MESH(mesh.f90),
R,mesh.f90:426,REAL(EB),1,mesh.f90:746,M%R,mesh.f90:185,deferred(:); allocated as (0:M%IBAR),grid_geometry,20,19,PRESSURE_SOLVER_CHECK_RESIDUALS(pres.f90); PRESSURE_SOLVER_CHECK_RESIDUALS_U(pres.f90); DIVERGENCE_PART_2(divg.f90); RADIATION_FVM(radi.f90); VELOCITY_FLUX_CYLINDRICAL(velo.f90); DIVERGENCE_PART_1(divg.f90),
RC,mesh.f90:426,REAL(EB),1,mesh.f90:747,M%RC,mesh.f90:186,deferred(:); allocated as (0:M%IBAR+1),grid_geometry,13,13,UPDATE_DEVICES_1(dump.f90); ULMAT_SOLVE_ZONE(pres.f90); GET_FH_FROM_PRHS_AND_BCS(ccib.f90); ULMAT_BCS_H_MATRIX(pres.f90); GET_BCS_H_MATRIX(pres.f90); GET_H_MATRIX(pres.f90),
